link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
0,Cap Kingdom,overworld,CapWorldHomeStage,Ex,Goal,CapWorldTowerStage,Ex,Goal,CapWorldHomeStage::entrance::Ex::home_in,CapWorldHomeStage::entrance::Goal::home_out,CapWorldTowerStage::entrance::Ex::sub_near,CapWorldTowerStage::entrance::Goal::sub_far,vanilla,
1,Cap Kingdom,overworld,CapWorldHomeStage,PushBlockExStageEnt,PushBlockExStageEntDokan,PushBlockExStage,PushBlockExStageEnt,PushBlockExStageEntDokan,CapWorldHomeStage::entrance::PushBlockExStageEnt::home_in,CapWorldHomeStage::entrance::PushBlockExStageEntDokan::home_out,PushBlockExStage::entrance::PushBlockExStageEnt::sub_near,PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,active,
2,Cap Kingdom,overworld,CapWorldHomeStage,PoisonWaveExEnt,PoisonWaveExEnt,PoisonWaveExStage,PoisonWaveExEnt,PoisonWaveExExit,CapWorldHomeStage::entrance::PoisonWaveExEnt::home_in,CapWorldHomeStage::entrance::PoisonWaveExEnt::home_out,PoisonWaveExStage::entrance::PoisonWaveExEnt::sub_near,PoisonWaveExStage::entrance::PoisonWaveExExit::sub_far,active,
3,Cap Kingdom,overworld,CapWorldHomeStage,FrogSearchExStageEnt,FrogSearchExStageEnt,FrogSearchExStage,FrogSearchExStageEnt,FrogSearchExStageEnt,CapWorldHomeStage::entrance::FrogSearchExStageEnt::home_in,CapWorldHomeStage::entrance::FrogSearchExStageEnt::home_out,FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_near,FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_far,active,
4,Cap Kingdom,overworld,CapWorldHomeStage,rollingstart,rollinggoal,RollingExStage,rollingstart,rollinggoal,CapWorldHomeStage::entrance::rollingstart::home_in,CapWorldHomeStage::entrance::rollinggoal::home_out,RollingExStage::entrance::rollingstart::sub_near,RollingExStage::entrance::rollinggoal::sub_far,active,
5,Cascade Kingdom,overworld,WaterfallWorldHomeStage,WanwanExStart,WanwanExGoal,WanwanClashExStage,WanwanExStart,WanwanExGoal,WaterfallWorldHomeStage::entrance::WanwanExStart::home_in,WaterfallWorldHomeStage::entrance::WanwanExGoal::home_out,WanwanClashExStage::entrance::WanwanExStart::sub_near,WanwanClashExStage::entrance::WanwanExGoal::sub_far,active,
6,Cascade Kingdom,overworld,WaterfallWorldHomeStage,WindBlowExStart,WindBlowExGoal,WindBlowExStage,WindBlowExStart,WindBlowExGoal,WaterfallWorldHomeStage::entrance::WindBlowExStart::home_in,WaterfallWorldHomeStage::entrance::WindBlowExGoal::home_out,WindBlowExStage::entrance::WindBlowExStart::sub_near,WindBlowExStage::entrance::WindBlowExGoal::sub_far,active,
7,Cascade Kingdom,overworld,WaterfallWorldHomeStage,CapAppearExEnt,CapAppearExExit,CapAppearExStage,CapAppearExEnt,CapAppearExExit,WaterfallWorldHomeStage::entrance::CapAppearExEnt::home_in,WaterfallWorldHomeStage::entrance::CapAppearExExit::home_out,CapAppearExStage::entrance::CapAppearExEnt::sub_near,CapAppearExStage::entrance::CapAppearExExit::sub_far,active,
8,Cascade Kingdom,overworld,WaterfallWorldHomeStage,Lift2D,Lift2DExit,Lift2DExStage,Lift2D,Lift2DExit,WaterfallWorldHomeStage::entrance::Lift2D::home_in,WaterfallWorldHomeStage::entrance::Lift2DExit::home_out,Lift2DExStage::entrance::Lift2D::sub_near,Lift2DExStage::entrance::Lift2DExit::sub_far,active,
9,Cascade Kingdom,overworld,WaterfallWorldHomeStage,RexPoppunEx,RexPoppunEx,TrexPoppunExStage,RexPoppunEx,RexPoppunEx,WaterfallWorldHomeStage::entrance::RexPoppunEx::home_in,WaterfallWorldHomeStage::entrance::RexPoppunEx::home_out,TrexPoppunExStage::entrance::RexPoppunEx::sub_near,TrexPoppunExStage::entrance::RexPoppunEx::sub_far,active,
