moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
SkyWorldCastleZone:3811:314,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Big Broodal Battle,SkyWorldCastleZone:3811:314,3811,314,ShineFlag_Story,SkyWorldCastleZone::checkpoint::obj1888,,Tsukkun,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Pokio, Frog, Uproot, Gushen, Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound, Capture) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw; other=Ground Pound) | method_3(jump=Cap Return Jump (400); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound, Dive)",true,ShineAddHeight,Common,-1,,1;10;11;12;13;14;2;3;4;5;6;7;8;9,2,None,,8409.942,28850.000,-40735.427,SkyWorldCastleZoneMap.szs,SkyWorldCastleZoneMap.byml,14,2,2,63,false,false,1;2;3;4;5;6,GK連戦監視者_シャイン【2m置き】,激闘！ ブルーダルズ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3,4"
SkyWorldHomeStage:1673:315,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Taking Notes: Between Spinies,SkyWorldHomeStage:1673:315,1673,315,ShineFlag_None,SkyWorldHomeStage::checkpoint::obj1626,,free,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",false,,,,,,,,,-27950.000,7400.000,19500.000,ShineInfo.szs,ShineList_SkyWorldHomeStage.byml;ShinePosList.byml,0,14,-1,15,false,false,1;2;3;4,音符オブジェ(1つ目),トゲトゲよけて 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldHomeStage:2204:316,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Jizo All in a Row,SkyWorldHomeStage:2204:316,2204,316,ShineFlag_None,SkyWorldHomeStage::checkpoint::obj2028,,Statue,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",false,,,,,,,,,-27215.000,21570.000,-33200.000,ShineInfo.szs,ShineList_SkyWorldHomeStage.byml;ShinePosList.byml,0,22,-1,63,false,false,1;2;3;4;5;6,地蔵位置合わせマーク,並んで お地蔵さん,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldHomeStage:2043:317,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Underground Jizo,SkyWorldHomeStage:2043:317,2043,317,ShineFlag_None,SkyWorldHomeStage::checkpoint::obj2028,,Statue,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",false,,,,,,,,,-26715.000,20670.000,-33050.000,ShineInfo.szs,ShineList_SkyWorldHomeStage.byml;ShinePosList.byml,0,24,-1,63,false,false,1;2;3;4;5;6,地蔵位置合わせマーク,地底の お地蔵さん,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldCastleZone:2335:318,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,"Good to See You, Captain Toad!",SkyWorldCastleZone:2335:318,2335,318,ShineFlag_None,SkyWorldCastleZone::checkpoint::obj1890,,free,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",false,,,,,,,,,74710.556,61128.900,-65907.588,ShineInfo.szs,ShineList_SkyWorldHomeStage.byml;ShinePosList.byml,0,7,-1,15,false,false,1;2;3;4,キノピオ隊長,よろしく！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldCastleZone:3646:319,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Inside a Block in the Castle,SkyWorldCastleZone:3646:319,3646,319,ShineFlag_None,SkyWorldCastleZone::checkpoint::obj1890,,free,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),false,,,,,,,,,73701.019,61750.000,-71007.595,ShineInfo.szs,ShineList_SkyWorldHomeStage.byml;ShinePosList.byml,0,12,-1,63,false,false,1;2;3;4;5;6,空のワールド壊れパーツ000,お城の かたいブロックの中,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldHomeStage:836:320,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Exterminate the Ogres!,SkyWorldHomeStage:836:320,836,320,ShineFlag_None,SkyWorldHomeStage::place::new_place_9,,GroundPound,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound, Capture)",false,,,,,,,,,29950.000,19370.699,20950.000,ShineInfo.szs,ShineList_SkyWorldHomeStage.byml;ShinePosList.byml,0,13,-1,15,false,false,1;2;3;4,シャイン用全滅監視,オニ退治！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldHomeStage:1264:321,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Behind the Big Wall,SkyWorldHomeStage:1264:321,1264,321,ShineFlag_None,SkyWorldHomeStage::place::new_place_5,,free,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,ShineAddHeight,G,-1,,0;1;2;3,-1,None,,-55900.000,3450.000,23750.004,SkyWorldHomeStageMap.szs,SkyWorldHomeStageMap.byml,4,4,-1,15,false,false,1;2;3;4,シャイン【2m置き】,まわりこんで 壁の裏,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldHomeStage:1596:322,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Secret Path to Bowser's Castle!,SkyWorldHomeStage:1596:322,1596,322,ShineFlag_None,SkyWorldHomeStage::checkpoint::obj2697,,free,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None) | method_2(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Dive),true,ShineAddHeight,G,-1,,0;1;2;3,-1,WorldWarpHoleShine,,19950.000,42500.000,20250.000,SkyWorldHomeStageMap.szs,SkyWorldHomeStageMap.byml,4,61,-1,15,false,false,1;2;3;4,シャイン【2m置き】,ようこそ？ クッパ城！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SkyWorldHomeStage:1740:323,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,Poking Your Nose in the Plaster Wall,SkyWorldHomeStage:1740:323,1740,323,ShineFlag_None,SkyWorldHomeStage::place::new_place_3,,Tsukkun,WorldPeace_Bowsers,MoonRockActive_Bowsers,primary,unrated,,"captures=Locked behind Default Capture, Pokio | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-28000.000,7800.000,18550.000,SkyWorldHomeStageMap.szs,SkyWorldHomeStageMap.byml,15,21,-1,63,false,false,1;2;3;4;5;6,ステージスイッチ_ツックンの穴_ツックンの穴_ツックンの穴_ツックンの穴_ツックンの穴_ツックンの穴,ツンツン！ 白ぬりの壁,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
