event_token,event_type,kingdom,world_id,develop_name,main_stage,event_node_id,event_location_node_id,requirement_expr,status,notes
WorldPeace_Cap,world_peace,Cap Kingdom,0,Cap,CapWorldHomeStage,CapWorldHomeStage::event::WorldPeace_Cap,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Cap,moon_rock_active,Cap Kingdom,0,Cap,CapWorldHomeStage,CapWorldHomeStage::event::MoonRockActive_Cap,CapWorldHomeStage::event::MoonRockActive_Cap,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj859.
WorldPeace_Cascade,world_peace,Cascade Kingdom,1,Cascade,WaterfallWorldHomeStage,WaterfallWorldHomeStage::event::WorldPeace_Cascade,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Cascade,moon_rock_active,Cascade Kingdom,1,Cascade,WaterfallWorldHomeStage,WaterfallWorldHomeStage::event::MoonRockActive_Cascade,WaterfallWorldHomeStage::event::MoonRockActive_Cascade,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1030.
WorldPeace_Sand,world_peace,Sand Kingdom,2,Sand,SandWorldHomeStage,SandWorldHomeStage::event::WorldPeace_Sand,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Sand,moon_rock_active,Sand Kingdom,2,Sand,SandWorldHomeStage,SandWorldHomeStage::event::MoonRockActive_Sand,SandWorldHomeStage::event::MoonRockActive_Sand,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj3428.
WorldPeace_Wooded,world_peace,Wooded Kingdom,3,Wooded,ForestWorldHomeStage,ForestWorldHomeStage::event::WorldPeace_Wooded,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Wooded,moon_rock_active,Wooded Kingdom,3,Wooded,ForestWorldHomeStage,ForestWorldHomeStage::event::MoonRockActive_Wooded,ForestWorldHomeStage::event::MoonRockActive_Wooded,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj5126.
WorldPeace_Lake,world_peace,Lake Kingdom,4,Lake,LakeWorldHomeStage,LakeWorldHomeStage::event::WorldPeace_Lake,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Lake,moon_rock_active,Lake Kingdom,4,Lake,LakeWorldHomeStage,LakeWorldHomeStage::event::MoonRockActive_Lake,LakeWorldHomeStage::event::MoonRockActive_Lake,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj552.
WorldPeace_Cloud,world_peace,Cloud Kingdom,5,Cloud,CloudWorldHomeStage,CloudWorldHomeStage::event::WorldPeace_Cloud,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Cloud,moon_rock_active,Cloud Kingdom,5,Cloud,CloudWorldHomeStage,CloudWorldHomeStage::event::MoonRockActive_Cloud,CloudWorldHomeStage::event::MoonRockActive_Cloud,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj182.
WorldPeace_Lost,world_peace,Lost Kingdom,6,Lost,ClashWorldHomeStage,ClashWorldHomeStage::event::WorldPeace_Lost,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Lost,moon_rock_active,Lost Kingdom,6,Lost,ClashWorldHomeStage,ClashWorldHomeStage::event::MoonRockActive_Lost,ClashWorldHomeStage::event::MoonRockActive_Lost,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj610.
WorldPeace_Metro,world_peace,Metro Kingdom,7,Metro,CityWorldHomeStage,CityWorldHomeStage::event::WorldPeace_Metro,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Metro,moon_rock_active,Metro Kingdom,7,Metro,CityWorldHomeStage,CityWorldHomeStage::event::MoonRockActive_Metro,CityWorldHomeStage::event::MoonRockActive_Metro,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj12582.
WorldPeace_Seaside,world_peace,Seaside Kingdom,8,Seaside,SeaWorldHomeStage,SeaWorldHomeStage::event::WorldPeace_Seaside,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Seaside,moon_rock_active,Seaside Kingdom,8,Seaside,SeaWorldHomeStage,SeaWorldHomeStage::event::MoonRockActive_Seaside,SeaWorldHomeStage::event::MoonRockActive_Seaside,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1374.
WorldPeace_Snow,world_peace,Snow Kingdom,9,Snow,SnowWorldHomeStage,SnowWorldHomeStage::event::WorldPeace_Snow,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Snow,moon_rock_active,Snow Kingdom,9,Snow,SnowWorldHomeStage,SnowWorldHomeStage::event::MoonRockActive_Snow,SnowWorldHomeStage::event::MoonRockActive_Snow,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj583.
WorldPeace_Luncheon,world_peace,Luncheon Kingdom,10,Luncheon,LavaWorldHomeStage,LavaWorldHomeStage::event::WorldPeace_Luncheon,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Luncheon,moon_rock_active,Luncheon Kingdom,10,Luncheon,LavaWorldHomeStage,LavaWorldHomeStage::event::MoonRockActive_Luncheon,LavaWorldHomeStage::event::MoonRockActive_Luncheon,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj4881.
WorldPeace_Ruined,world_peace,Ruined Kingdom,11,Ruined,BossRaidWorldHomeStage,BossRaidWorldHomeStage::event::WorldPeace_Ruined,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Ruined,moon_rock_active,Ruined Kingdom,11,Ruined,BossRaidWorldHomeStage,BossRaidWorldHomeStage::event::MoonRockActive_Ruined,BossRaidWorldHomeStage::event::MoonRockActive_Ruined,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj395.
WorldPeace_Bowsers,world_peace,Bowser's Kingdom,12,Bowsers,SkyWorldHomeStage,SkyWorldHomeStage::event::WorldPeace_Bowsers,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Bowsers,moon_rock_active,Bowser's Kingdom,12,Bowsers,SkyWorldHomeStage,SkyWorldHomeStage::event::MoonRockActive_Bowsers,SkyWorldHomeStage::event::MoonRockActive_Bowsers,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1378.
WorldPeace_Moon,world_peace,Moon Kingdom,13,Moon,MoonWorldHomeStage,MoonWorldHomeStage::event::WorldPeace_Moon,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Moon,moon_rock_active,Moon Kingdom,13,Moon,MoonWorldHomeStage,MoonWorldHomeStage::event::MoonRockActive_Moon,MoonWorldHomeStage::event::MoonRockActive_Moon,,todo,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj144.
WorldPeace_Mushroom,world_peace,Mushroom Kingdom,14,Mushroom,PeachWorldHomeStage,PeachWorldHomeStage::event::WorldPeace_Mushroom,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Mushroom,moon_rock_active,Mushroom Kingdom,14,Mushroom,PeachWorldHomeStage,PeachWorldHomeStage::event::MoonRockActive_Mushroom,,,todo,Fill the route to the Moon Rock and any prerequisite story/global state.
WorldPeace_Dark,world_peace,Dark Side,15,Dark,Special1WorldHomeStage,Special1WorldHomeStage::event::WorldPeace_Dark,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Dark,moon_rock_active,Dark Side,15,Dark,Special1WorldHomeStage,Special1WorldHomeStage::event::MoonRockActive_Dark,,,todo,Fill the route to the Moon Rock and any prerequisite story/global state.
WorldPeace_Darker,world_peace,Darker Side,16,Darker,Special2WorldHomeStage,Special2WorldHomeStage::event::WorldPeace_Darker,,,todo,Fill the story moons/bosses that must be completed for world peace in this kingdom.
MoonRockActive_Darker,moon_rock_active,Darker Side,16,Darker,Special2WorldHomeStage,Special2WorldHomeStage::event::MoonRockActive_Darker,,,todo,Fill the route to the Moon Rock and any prerequisite story/global state.
