stage,kingdom,stage_display_name,stage_start_node_id,area_scope,listed_in_stage_warp,has_shine_db_moons,active_entrance_link_count,excluded_entrance_link_count,has_raw_stage_data_points,status,notes
HomeShipInsideStage,,Inside the Odyssey,HomeShipInsideStage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldKoopa1Stage,,Underground Caverns: Bowser Escape 1,MoonWorldKoopa1Stage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldKoopa2Stage,,Underground Caverns: Bowser Escape 2,MoonWorldKoopa2Stage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldWeddingRoom2Stage,,Wedding Hall,MoonWorldWeddingRoom2Stage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
SnowWorldRace000Stage,,Bound Bowl Grand Prix,SnowWorldRace000Stage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
SnowWorldRace001Stage,,Bound Bowl Grand Prix (Class S),SnowWorldRace001Stage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
SnowWorldRaceTutorialStage,,Bound Bowl Grand Prix (Tutorial),SnowWorldRaceTutorialStage::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special1WorldTowerRoomZone,,Rabbit Ridge Tower: Top Floor,Special1WorldTowerRoomZone::start,subarea,false,false,0,0,true,discovered,Every listed room gets a stage_start node even when EntranceDB has no active link.
JizoSwitchExStage,Bowser's Kingdom,Jizo's Great Adventure,JizoSwitchExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
KaronWingTowerStage,Bowser's Kingdom,Hexagon Tower,KaronWingTowerStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SkyWorldCloudBonusExStage,Bowser's Kingdom,Dashing Above the Clouds,SkyWorldCloudBonusExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SkyWorldCostumeStage,Bowser's Kingdom,Scene in the Folding Screen,SkyWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SkyWorldHomeStage,Bowser's Kingdom,Bowser's Kingdom,SkyWorldHomeStage::start,overworld,true,true,8,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map SkyWorldCastleZone. Includes embedded map SkyWorldWallZone.
SkyWorldShopStage,Bowser's Kingdom,Crazy Cap Store,SkyWorldShopStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SkyWorldTreasureStage,Bowser's Kingdom,Bowser's Kingdom Treasure Vault,SkyWorldTreasureStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
TsukkunClimbExStage,Bowser's Kingdom,Wooden Tower,TsukkunClimbExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
TsukkunRotateExStage,Bowser's Kingdom,Spinning Tower,TsukkunRotateExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CapWorldHomeStage,Cap Kingdom,Cap Kingdom,CapWorldHomeStage::start,overworld,true,true,4,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CapWorldTowerStage,Cap Kingdom,Inside Cap Tower,CapWorldTowerStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
FrogSearchExStage,Cap Kingdom,Frog Pond,FrogSearchExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PoisonWaveExStage,Cap Kingdom,Poison Tides,PoisonWaveExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PushBlockExStage,Cap Kingdom,Push Block Peril,PushBlockExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
