edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0096,Bowser's Kingdom,subarea,JizoSwitchExStage::entrance::jizo01::sub_near,JizoSwitchExStage::entrance::jizo02::sub_far,(Statue & WallJump) | (Statue & Vault & Dive & NeutralThrow) | (Statue & Vault & LedgeGrab & NeutralThrow),,human_route,casual;advanced;advanced,false,editor,Created in graph editor.,,
edge_user_0097,Bowser's Kingdom,subarea,JizoSwitchExStage::entrance::jizo02::sub_far,JizoSwitchExStage::entrance::jizo01::sub_near,free,,human_route,casual,false,editor,Reverse of edge_user_0096.,,
edge_user_0098,Bowser's Kingdom,subarea,TsukkunRotateExStage::entrance::tukkun000_enter::sub_near,TsukkunRotateExStage::entrance::tukkun000_exit::sub_far,Tsukkun | (GroundPound & Roll & RollBoost & TripleJump & Vault & Dive & WallJump & NeutralThrow),,human_route,casual;expert,false,editor,Created in graph editor.,,
edge_user_0099,Bowser's Kingdom,subarea,TsukkunRotateExStage::entrance::tukkun000_exit::sub_far,TsukkunRotateExStage::entrance::tukkun000_enter::sub_near,free,,human_route,casual,false,editor,Reverse of edge_user_0098.,,
edge_user_0100,Bowser's Kingdom,subarea,TsukkunClimbExStage::entrance::tukkun001_enter::sub_near,TsukkunClimbExStage::entrance::tukkun001_exit::sub_far,Tsukkun | (Backflip & Vault & Dive & WallJump & NeutralThrow),,human_route,casual;expert,false,editor,Created in graph editor.,,
edge_user_0101,Bowser's Kingdom,subarea,TsukkunClimbExStage::entrance::tukkun001_exit::sub_far,TsukkunClimbExStage::entrance::tukkun001_enter::sub_near,free,,human_route,casual,false,editor,Reverse of edge_user_0100.,,
edge_user_0295,Bowser's Kingdom,overworld,SkyWorldHomeStage::stage_change::Come::raw,SkyWorldHomeStage::checkpoint::obj2697,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0300,Bowser's Kingdom,overworld,SkyWorldHomeStage::checkpoint::obj1626,SkyWorldHomeStage::place::new_place_3,(Tsukkun & Vault & Dive & NeutralThrow) | GroundPound | (Vault & WallJump & NeutralThrow & Tsukkun) | (Tsukkun & WallJump & Dive & NeutralThrow),,human_route,advanced;casual;advanced;advanced,false,editor,Created in graph editor.,,
edge_user_0303,Bowser's Kingdom,overworld,SkyWorldHomeStage::place::new_place_3,SkyWorldHomeStage::checkpoint::obj1626,free,,human_route,casual,false,editor,Reverse of edge_user_0300.,,
edge_user_0299,Bowser's Kingdom,overworld,SkyWorldHomeStage::place::new_place_3,SkyWorldWallZone::checkpoint::obj545,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0095,Bowser's Kingdom,overworld,SkyWorldWallZone::start,SkyWorldWallZone::checkpoint::obj545,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0294,Bowser's Kingdom,overworld,SkyWorldWallZone::checkpoint::obj545,SkyWorldHomeStage::checkpoint::obj2028,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0298,Bowser's Kingdom,overworld,SkyWorldHomeStage::checkpoint::obj2028,SkyWorldHomeStage::entrance::byoubu::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0301,Bowser's Kingdom,overworld,SkyWorldHomeStage::checkpoint::obj2028,SkyWorldHomeStage::entrance::shop::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0290,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1392,SkyWorldHomeStage::event::MoonRockActive_Bowsers,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0388,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1392,SkyWorldHomeStage::entrance::tukkun001_enter::home_in,free,,human_route,casual,false,editor,Created in graph editor.,5,
edge_user_0391,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1890,SkyWorldCastleZone::checkpoint::obj2134,Tsukkun,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0392,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj2134,SkyWorldCastleZone::checkpoint::obj1891,Tsukkun,,human_route,casual,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0393,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1891,SkyWorldCastleZone::checkpoint::obj6423,ElectricWire,,human_route,casual,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0396,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj6423,SkyWorldHomeStage::entrance::jizo01::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0407,Bowser's Kingdom,subarea,SkyWorldTreasureStage::entrance::shop_dress::sub_near,SkyWorldTreasureStage::entrance::shop_dress::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0408,Bowser's Kingdom,subarea,SkyWorldShopStage::entrance::shop::sub_near,SkyWorldShopStage::entrance::shop::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0409,Bowser's Kingdom,subarea,SkyWorldCloudBonusExStage::entrance::sora001::sub_near,SkyWorldCloudBonusExStage::entrance::sora001::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0410,Bowser's Kingdom,subarea,SkyWorldCloudBonusExStage::entrance::sora001::sub_far,SkyWorldCloudBonusExStage::entrance::sora001::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0409.,,
edge_user_0411,Bowser's Kingdom,subarea,KaronWingTowerStage::entrance::Patakaron02::sub_near,KaronWingTowerStage::entrance::Patakaron02::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0412,Bowser's Kingdom,subarea,SkyWorldCostumeStage::entrance::byoubu::sub_near,SkyWorldCostumeStage::entrance::byoubu::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0267,Bowser's Kingdom,overworld,SkyWorldHomeStage::checkpoint::obj2697,SkyWorldHomeStage::checkpoint::obj1626,SideFlip,,human_route,expert,false,editor,Created in graph editor.,,
edge_user_0268,Bowser's Kingdom,overworld,SkyWorldHomeStage::checkpoint::obj2028,SkyWorldCastleZone::checkpoint::obj1888,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0269,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1888,SkyWorldHomeStage::stage_change::Go::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0270,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1888,SkyWorldCastleZone::checkpoint::obj1392,Tsukkun | GroundPound,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0271,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1392,SkyWorldCastleZone::checkpoint::obj1888,(Vault & WallJump & Dive & NeutralThrow),,human_route,expert,false,editor,Reverse of edge_user_0270.,"1,2,3,4,5",
edge_user_0274,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj1392,SkyWorldHomeStage::entrance::Patakaron02::home_in,free,,human_route,casual,false,editor,Created in graph editor.,5,
edge_user_0293,Bowser's Kingdom,overworld,SkyWorldHomeStage::place::new_place,SkyWorldHomeStage::entrance::tukkun000_enter::home_in,GroundPound,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0296,Bowser's Kingdom,overworld,SkyWorldHomeStage::entrance::tukkun000_enter::home_in,SkyWorldHomeStage::place::new_place,free,,human_route,casual,false,editor,Reverse of edge_user_0293.,,
edge_user_0297,Bowser's Kingdom,overworld,SkyWorldHomeStage::place::new_place,SkyWorldHomeStage::entrance::sora001::home_in,Climb,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0302,Bowser's Kingdom,overworld,SkyWorldHomeStage::entrance::sora001::home_in,SkyWorldHomeStage::place::new_place,Dive | (Vault & WallJump & NeutralThrow) | (Vault & LedgeGrab & NeutralThrow) | (TripleJump & Vault & NeutralThrow),,human_route,advanced;advanced;advanced;expert,false,editor,Reverse of edge_user_0297.,,
edge_user_0304,Bowser's Kingdom,overworld,SkyWorldCastleZone::checkpoint::obj2134,SkyWorldHomeStage::place::new_place,(Vault & Dive & NeutralThrow) | (TripleJump & Vault & WallJump & NeutralThrow) | (TripleJump & Vault & LedgeGrab & NeutralThrow),,human_route,advanced;expert;expert,false,editor,Created in graph editor.,,
edge_user_0291,Bowser's Kingdom,overworld,SkyWorldHomeStage::place::new_place,SkyWorldCastleZone::checkpoint::obj2134,free,,human_route,advanced,false,editor,Reverse of edge_user_0304.,,
